Compound;Time;Labeling;Treatment;N;mean;sd;se
274;Leucine;15min;U;C;5;30186168;12430974.0467378;5559300.5990083
275;Leucine;15min;U;Fe;5;9324932.6;4380293.10826385;1958926.63029036
276;Leucine;15min;U;P;5;71605998;16028775.8798456;7168286.49268875
277;Leucine;30min;L;C;5;25538678;12026286.9639498;5378319.03366228
278;Leucine;30min;L;Fe;5;10066935.2;2633972.62791334;1177948.3693776
279;Leucine;30min;L;P;5;65156742;24516669.576096;10964187.9508103
280;Leucine;30min;U;C;5;30900744;6714547.11114085;3002836.75572716
281;Leucine;30min;U;Fe;5;9468934;4363542.77724987;1951435.65453179
282;Leucine;30min;U;P;5;69800278;18257833.4513592;8165151.34382174
283;Leucine;60min;L;C;5;22794944;8321327.77246997;3721410.91245995
284;Leucine;60min;L;Fe;5;11184131.2;1707877.34970261;763785.970233442
285;Leucine;60min;L;P;5;82249232;19156904.8394507;8567228.2919013
286;Leucine;60min;U;C;5;17412340;6160664.06790291;2755132.72847426
287;Leucine;60min;U;Fe;5;12154242.4;2962382.83454701;1324817.87868513
288;Leucine;60min;U;P;5;50436366;14435414.1855068;6455713.48043158
289;Lysine;120min;L;C;5;565633.2;106086.870760241;47443.4909080266
290;Lysine;120min;L;Fe;5;340140;73453.9871245939;32849.6216857972
291;Lysine;120min;L;P;5;1125099.8;508935.488133025;227602.869525496
292;Lysine;120min;U;C;5;733936;258443.559100435;115579.473299111
293;Lysine;120min;U;Fe;5;339446.4;74339.7674014386;33245.7546682279
294;Lysine;120min;U;P;5;1125162.6;309575.356962243;138446.308465268
295;Lysine;15min;L;C;5;685728.8;313047.252401614;139998.987307909
296;Lysine;15min;L;Fe;4;308048.75;49432.6970022541;24716.3485011271
297;Lysine;15min;L;P;5;1207764;174311.389392661;77954.4231868853
298;Lysine;15min;U;C;5;556734.4;83363.6996527865;37281.3798559013
299;Lysine;15min;U;Fe;5;234114.6;111325.654715344;49786.3463166358
300;Lysine;15min;U;P;5;1145076.8;269123.334128983;120355.613888759
301;Lysine;30min;L;C;5;581917.8;250852.054734858;112184.449336528
302;Lysine;30min;L;Fe;5;312951;66288.0151799705;29644.9016071904
303;Lysine;30min;L;P;5;1168996.2;181284.12293607;81072.7244252961
304;Lysine;30min;U;C;5;772085.2;151928.757912056;67944.6060856931
305;Lysine;30min;U;Fe;5;334314.2;188627.972513888;84356.993799803
306;Lysine;30min;U;P;5;1062096.4;252170.921103723;112774.264307332
307;Lysine;60min;L;C;5;566677.8;184275.135390535;82410.3458592427
308;Lysine;60min;L;Fe;5;406480.6;24890.5560865964;11131.3950814801
309;Lysine;60min;L;P;5;1367704.2;310690.017422833;138944.799777609
310;Lysine;60min;U;C;5;426260.2;171693.066102566;76783.4734141404
311;Lysine;60min;U;Fe;5;383431.6;48663.2939472864;21762.8866550373
312;Lysine;60min;U;P;5;1010921.2;143087.026412949;63990.4635515324
313;Methionine;120min;L;C;5;2044850.6;499577.749852113;223417.961743142
314;Methionine;120min;L;Fe;5;1149129.6;322394.023146832;144178.990259191
315;Methionine;120min;L;P;5;4105072.2;1882871.71454781;842045.829328095
316;Methionine;120min;U;C;5;3378935.4;479008.3496504;214219.046321656
317;Methionine;120min;U;Fe;5;1647035.8;110949.152016588;49617.9691910098
318;Methionine;120min;U;P;5;4639930.2;1424431.34410883;637025.06294175
319;Methionine;15min;L;C;5;3353168.2;1014228.88529917;453576.946454557
320;Methionine;15min;L;Fe;4;2366551.25;393266.706857128;196633.353428564
321;Methionine;15min;L;P;5;5863896;1014793.59598171;453829.492749314
322;Methionine;15min;U;C;5;3788692.4;553032.408600346;247323.611878163
323;Methionine;15min;U;Fe;5;2247281.2;1065276.98968235;476406.352759217
