"metabolite";"derivative";"isotopologue";"sample";"area"
"361";"Aconitate";"3NPH";4;"022_O5.cdf";0
"362";"Aconitate";"3NPH";5;"022_O5.cdf";0
"363";"Aconitate";"3NPH";6;"022_O5.cdf";0
"364";"Glycerate";"NPH";0;"022_O5.cdf";244160.494623656
"365";"Glycerate";"NPH";1;"022_O5.cdf";23002.9318996416
"366";"Glycerate";"NPH";2;"022_O5.cdf";3319.06093189964
"367";"Glycerate";"NPH";3;"022_O5.cdf";0
"368";"Glycolate";"NPH";0;"022_O5.cdf";50357.8637992832
"369";"Glycolate";"NPH";1;"022_O5.cdf";4203.10394265233
"370";"Glycolate";"NPH";2;"022_O5.cdf";0
"371";"Hydroxyglutarate";"2NPH";0;"022_O5.cdf";48278.1433691756
"372";"Hydroxyglutarate";"2NPH";1;"022_O5.cdf";10396.1362007168
"373";"Hydroxyglutarate";"2NPH";2;"022_O5.cdf";688.881720430108
"374";"Hydroxyglutarate";"2NPH";3;"022_O5.cdf";0
"375";"Hydroxyglutarate";"2NPH";4;"022_O5.cdf";0
"376";"Hydroxyglutarate";"2NPH";5;"022_O5.cdf";0
"377";"Oxalate";"2NPH";0;"022_O5.cdf";7997168.65949821
"378";"Oxalate";"2NPH";1;"022_O5.cdf";1286715.69892473
"379";"Oxalate";"2NPH";2;"022_O5.cdf";155711.82078853
"380";"Itaconate";"2NPH";0;"022_O5.cdf";2643.71326164875
"381";"Itaconate";"2NPH";1;"022_O5.cdf";177.641577060932
"382";"Itaconate";"2NPH";2;"022_O5.cdf";0
"383";"Itaconate";"2NPH";3;"022_O5.cdf";1315.62007168459
"384";"Itaconate";"2NPH";4;"022_O5.cdf";68428.4301075269
"385";"Itaconate";"2NPH";5;"022_O5.cdf";16009.082437276
"386";"Lactate";"NPH";0;"023_O6.cdf";0
"387";"Lactate";"NPH";1;"023_O6.cdf";0
"388";"Lactate";"NPH";2;"023_O6.cdf";0
"389";"Lactate";"NPH";3;"023_O6.cdf";0
"390";"Pyruvate";"2NPH";0;"023_O6.cdf";250456.677920324
"391";"Pyruvate";"2NPH";1;"023_O6.cdf";37502.842673869
"392";"Pyruvate";"2NPH";2;"023_O6.cdf";4933.8352464551
"393";"Pyruvate";"2NPH";3;"023_O6.cdf";317.535449020932
"394";"Fumarate";"2NPH";0;"023_O6.cdf";431972.721134369
"395";"Fumarate";"2NPH";1;"023_O6.cdf";79873.2680621202
"396";"Fumarate";"2NPH";2;"023_O6.cdf";12260.0607697502
"397";"Fumarate";"2NPH";3;"023_O6.cdf";874.145847400405
"398";"Fumarate";"2NPH";4;"023_O6.cdf";0
"399";"Succinate";"2NPH";0;"023_O6.cdf";1025710.32410533
"400";"Succinate";"2NPH";1;"023_O6.cdf";175398.36596894
"401";"Succinate";"2NPH";2;"023_O6.cdf";26176.6779203241
"402";"Succinate";"2NPH";3;"023_O6.cdf";3169.57461174882
"403";"Succinate";"2NPH";4;"023_O6.cdf";0
"404";"Malate";"2NPH";0;"023_O6.cdf";19896904.6455098
