metabolite	derivative	isotopologue	sample	area
Oxaloacetate	2NPH	3	022_O5.cdf	0
Oxaloacetate	2NPH	4	022_O5.cdf	244.94623655914
Oxoglutarate	3NPH	0	022_O5.cdf	18249084.8028674
Oxoglutarate	3NPH	1	022_O5.cdf	5340958.19354839
Oxoglutarate	3NPH	2	022_O5.cdf	955492.286738351
Oxoglutarate	3NPH	3	022_O5.cdf	134540.523297491
Oxoglutarate	3NPH	4	022_O5.cdf	8592.3870967742
Oxoglutarate	3NPH	5	022_O5.cdf	0
Aconitate	3NPH	0	022_O5.cdf	10263.247311828
Aconitate	3NPH	1	022_O5.cdf	3389.54121863799
Aconitate	3NPH	2	022_O5.cdf	473.297491039427
Aconitate	3NPH	3	022_O5.cdf	54.1935483870968
Aconitate	3NPH	4	022_O5.cdf	0
Aconitate	3NPH	5	022_O5.cdf	0
Aconitate	3NPH	6	022_O5.cdf	0
Glycerate	NPH	0	022_O5.cdf	244160.494623656
Glycerate	NPH	1	022_O5.cdf	23002.9318996416
Glycerate	NPH	2	022_O5.cdf	3319.06093189964
Glycerate	NPH	3	022_O5.cdf	0
Glycolate	NPH	0	022_O5.cdf	50357.8637992832
Glycolate	NPH	1	022_O5.cdf	4203.10394265233
Glycolate	NPH	2	022_O5.cdf	0
Hydroxyglutarate	2NPH	0	022_O5.cdf	48278.1433691756
Hydroxyglutarate	2NPH	1	022_O5.cdf	10396.1362007168
Hydroxyglutarate	2NPH	2	022_O5.cdf	688.881720430108
Hydroxyglutarate	2NPH	3	022_O5.cdf	0
Hydroxyglutarate	2NPH	4	022_O5.cdf	0
Hydroxyglutarate	2NPH	5	022_O5.cdf	0
Oxalate	2NPH	0	022_O5.cdf	7997168.65949821
Oxalate	2NPH	1	022_O5.cdf	1286715.69892473
Oxalate	2NPH	2	022_O5.cdf	155711.82078853
Itaconate	2NPH	0	022_O5.cdf	2643.71326164875
Itaconate	2NPH	1	022_O5.cdf	177.641577060932
Itaconate	2NPH	2	022_O5.cdf	0
Itaconate	2NPH	3	022_O5.cdf	1315.62007168459
Itaconate	2NPH	4	022_O5.cdf	68428.4301075269
Itaconate	2NPH	5	022_O5.cdf	16009.082437276
Lactate	NPH	0	023_O6.cdf	0
Lactate	NPH	1	023_O6.cdf	0
Lactate	NPH	2	023_O6.cdf	0
Lactate	NPH	3	023_O6.cdf	0
Pyruvate	2NPH	0	023_O6.cdf	250456.677920324
Pyruvate	2NPH	1	023_O6.cdf	37502.842673869
Pyruvate	2NPH	2	023_O6.cdf	4933.8352464551
Pyruvate	2NPH	3	023_O6.cdf	317.535449020932
Fumarate	2NPH	0	023_O6.cdf	431972.721134369
Fumarate	2NPH	1	023_O6.cdf	79873.2680621202
Fumarate	2NPH	2	023_O6.cdf	12260.0607697502
Fumarate	2NPH	3	023_O6.cdf	874.145847400405
Fumarate	2NPH	4	023_O6.cdf	0
Succinate	2NPH	0	023_O6.cdf	1025710.32410533
Succinate	2NPH	1	023_O6.cdf	175398.36596894
Succinate	2NPH	2	023_O6.cdf	26176.6779203241
Succinate	2NPH	3	023_O6.cdf	3169.57461174882
Succinate	2NPH	4	023_O6.cdf	0
Malate	2NPH	0	023_O6.cdf	19896904.6455098
